Sequence,Customer_ID,Occu,Salary,total_asset,Loan_Type,Loan_Amount,Amount_Paid,Pay_now,Pay_now_total,Num_Missed_Pay,Total_Installments,features,scaled_features,prediction
4,NEKOR252435170,Politician/Family Member or Close Asscociates,19945,9896616,Occupational Loans,14859,825,9,7425,9,18,"[19945.0,9896616.0,825.0,7425.0,9.0,18.0]","[0.46115196354115556,3.980531573273904,0.18183323901671386,0.36464213851565114,2.8381922942343345,1.7109665506042964]",1
6,NEKOR178735107,Politician/Family Member or Close Asscociates,6444,9695404,Occupational Loans,4060,225,8,1800,1,18,"[6444.0,9695404.0,225.0,1800.0,1.0,18.0]","[0.1489928931090101,3.899601817191462,0.04959088336819469,0.0883980941856124,0.3153546993593705,1.7109665506042964]",1
13,NEKOR096564072,Politician/Family Member or Close Asscociates,9501,9207543,Personal loan,6270,348,6,2088,3,18,"[9501.0,9207543.0,348.0,2088.0,3.0,18.0]","[0.21967434472822858,3.7033785714002767,0.07670056627614112,0.10254178925531039,0.9460640980781114,1.7109665506042964]",1
24,NEKOR451207815,Lawyer/Accountant,118676,7695279,Personal loan,112714,37571,3,112713,3,3,"[118676.0,7695279.0,37571.0,112713.0,3.0,3.0]","[2.74392932690951,3.0951287818635818,8.28079590678419,5.535341327746073,0.9460640980781114,0.2851610917673827]",1
30,NEKOR449651655,Politician/Family Member or Close Asscociates,16449,7740310,Occupational Loans,4073,678,5,3390,0,6,"[16449.0,7740310.0,678.0,3390.0,0.0,6.0]","[0.3803203132759322,3.1132407624917176,0.14943386188282667,0.16648307738290336,0.0,0.5703221835347654]",1
43,NEKOR473838445,Retired,34159,9944624,Occupational Loans,6892,287,9,2583,3,24,"[34159.0,9944624.0,287.0,2583.0,3.0,24.0]","[0.7897964363300243,3.99984093717867,0.06325592678520835,0.1268512651563538,0.9460640980781114,2.2812887341390615]",1
58,NEKOR067568016,Politician/Family Member or Close Asscociates,20691,7053269,Vehicle loan,12662,4220,3,12660,10,3,"[20691.0,7053269.0,4220.0,12660.0,10.0,3.0]","[0.4784003648849361,2.836905054141138,0.9301045680612515,0.6217332624388072,3.153546993593705,0.2851610917673827]",1
81,NEKOR732045469,Retired,4356,7120237,Vehicle loan,4062,451,4,1804,8,9,"[4356.0,7120237.0,451.0,1804.0,8.0,9.0]","[0.1007158662915655,2.863840345800328,0.09940217066247024,0.08859453439491376,2.522837594874964,0.8554832753021482]",1
90,NEKOR537390299,Retired,14041,8129210,Occupational Loans,8650,2883,3,8649,7,3,"[14041.0,8129210.0,2883.0,8649.0,7.0,3.0]","[0.32464450840217424,3.269660767960882,0.6354245188911346,0.42475284256186757,2.2074828955155934,0.2851610917673827]",1
94,NEKOR645747426,Business Owner/Personal Business,80620,8253628,Vehicle loan,43332,7222,6,43332,6,6,"[80620.0,8253628.0,7222.0,43332.0,6.0,6.0]","[1.8640296465624449,3.319703103369631,1.5917571541560092,2.1280367873616424,1.8921281961562229,0.5703221835347654]",1
101,NEKOR446955449,Business Owner/Personal Business,34163,6566918,Vehicle loan,32490,902,25,22550,9,36,"[34163.0,6566918.0,902.0,22550.0,9.0,36.0]","[0.7898889210557282,2.6412891475329263,0.1988043413249405,1.107431679936422,2.8381922942343345,3.4219331012085927]",1
120,NEKOR367007657,Business Owner/Personal Business,36260,9310679,Vehicle loan,30650,1277,15,19155,5,24,"[36260.0,9310679.0,1277.0,19155.0,5.0,24.0]","[0.8383740385060066,3.744861044231513,0.281455813605265,0.940703052291892,1.5767734967968525,2.2812887341390615]",1
125,NEKOR438138545,Politician/Family Member or Close Asscociates,10017,7682707,Vehicle loan,7321,305,4,1220,3,24,"[10017.0,7682707.0,305.0,1220.0,3.0,24.0]","[0.23160487434403387,3.090072180401102,0.06722319745466392,0.059914263836915074,0.9460640980781114,2.2812887341390615]",1
127,NEKOR509980825,Business Owner/Personal Business,75202,8970174,Vehicle loan,48996,2722,5,13610,6,18,"[75202.0,8970174.0,2722.0,13610.0,6.0,18.0]","[1.7387590855964894,3.607906058470963,0.5999394867921153,0.6683878121478805,1.8921281961562229,1.7109665506042964]",1
129,NEKOR061690843,Retired,19550,6951212,Occupational Loans,12440,691,3,2073,8,18,"[19550.0,6951212.0,691.0,2073.0,8.0,18.0]","[0.45201909687789377,2.7958565673883315,0.15229911292187792,0.10180513847043028,2.522837594874964,1.7109665506042964]",1
135,NEKOR235039240,Politician/Family Member or Close Asscociates,11475,9098369,Occupational Loans,4561,1520,3,4560,1,3,"[11475.0,9098369.0,1520.0,4560.0,1.0,3.0]","[0.2653155568631116,3.6594675462599047,0.33501396764291524,0.2239418386035514,0.3153546993593705,0.2851610917673827]",1
136,NEKOR116226235,Retired,38310,7128047,Occupational Loans,15199,1266,10,12660,2,12,"[38310.0,7128047.0,1266.0,12660.0,2.0,12.0]","[0.8857724604292639,2.8669816166738538,0.27903137041837545,0.6217332624388072,0.630709398718741,1.1406443670695308]",1
147,NEKOR524652455,Politician/Family Member or Close Asscociates,10042,7704898,Personal loan,6725,373,10,3730,9,18,"[10042.0,7704898.0,373.0,3730.0,9.0,18.0]","[0.23218290387968335,3.0989976531225376,0.08221066442816276,0.18318049517351903,2.8381922942343345,1.7109665506042964]",1
158,NEKOR091592724,Retired,8022,8247969,Personal loan,7621,2540,3,7620,9,3,"[8022.0,8247969.0,2540.0,7620.0,9.0,3.0]","[0.1854781173992053,3.317426989173308,0.5598259722453979,0.3742185987190925,2.8381922942343345,0.2851610917673827]",1
166,NEKOR297466062,Politician/Family Member or Close Asscociates,27672,9523216,Occupational Loans,24175,2014,10,20140,7,12,"[27672.0,9523216.0,2014.0,20140.0,7.0,12.0]","[0.6398093324196971,3.8303458441862563,0.4438935071268627,0.9890764538323521,2.2074828955155934,1.1406443670695308]",1
170,NEKOR621193397,Business Owner/Personal Business,103247,9110284,Personal loan,89900,9988,7,69916,5,9,"[103247.0,9110284.0,9988.0,69916.0,5.0,9.0]","[2.3871926186880765,3.664259894846084,2.2013944136956827,3.433578418378487,1.5767734967968525,0.8554832753021482]",1
171,NEKOR647119197,Politician/Family Member or Close Asscociates,12911,9169187,Occupational Loans,11652,971,3,2913,4,12,"[12911.0,9169187.0,971.0,2913.0,4.0,12.0]","[0.29851757339081775,3.687951351729988,0.21401221222452022,0.14305758242371608,1.261418797437482,1.1406443670695308]",1
178,NEKOR100934422,Business Owner/Personal Business,22052,8248393,Vehicle loan,16422,5474,3,16422,9,3,"[22052.0,8248393.0,5474.0,16422.0,9.0,3.0]","[0.5098682928056938,3.317597526798196,1.2064910913666567,0.8064852792867372,2.8381922942343345,0.2851610917673827]",1
181,NEKOR421234154,Politician/Family Member or Close Asscociates,12248,9111569,Occupational Loans,6713,2237,3,6711,7,3,"[12248.0,9111569.0,2237.0,6711.0,7.0,3.0]","[0.2831882301053935,3.664776736468681,0.49304358264289566,0.32957756115535825,2.2074828955155934,0.2851610917673827]",1
