Sequence,Customer_ID,Occu,Salary,total_asset,Loan_Type,Loan_Amount,Amount_Paid,Pay_now,Pay_now_total,Num_Missed_Pay,Total_Installments,features,scaled_features,prediction
2,NEKOR349999395,Business Owner/Personal Business,167592,544500,Personal loan,76087,2113,30,63390,8,36,"[167592.0,544500.0,2113.0,63390.0,8.0,36.0]","[3.8749250375427096,0.21900409611200844,0.4657134958088684,3.1130862169033167,2.522837594874964,3.4219331012085927]",2
3,NEKOR534509789,Househusband/Housewife/Unemployed,5148,136114,Occupational Loans,3436,381,4,1524,8,9,"[5148.0,136114.0,381.0,1524.0,8.0,9.0]","[0.11902784198094103,0.05474659970282813,0.08397389583680968,0.0748437197438185,2.522837594874964,0.8554832753021482]",2
5,NEKOR195593569,Agent/Insurance Broker,12864,287587,Vehicle loan,11295,627,12,7524,5,18,"[12864.0,287587.0,627.0,7524.0,5.0,18.0]","[0.2974308778637967,0.11567076398267066,0.13819326165270254,0.3695040336958598,1.5767734967968525,1.7109665506042964]",2
7,NEKOR365271894,Student,29496,44084,Occupational Loans,27575,3063,8,24504,0,9,"[29496.0,44084.0,3063.0,24504.0,0.0,9.0]","[0.6819823673406831,0.017731086451793904,0.6750972255856904,1.2033927221801368,0.0,0.8554832753021482]",2
10,NEKOR150012667,Charity Officer,3057,978840,Personal loan,3026,336,3,1008,10,9,"[3057.0,978840.0,336.0,1008.0,10.0,9.0]","[0.07068145161921847,0.39370058666350477,0.07405571916317075,0.04950293274394295,3.153546993593705,0.8554832753021482]",2
12,NEKOR016757550,Student,5645,153081,Vehicle loan,4014,1338,3,4014,3,3,"[5645.0,153081.0,1338.0,4014.0,3.0,3.0]","[0.1305190691496527,0.06157092017800251,0.2949004530961978,0.19712775003391567,0.9460640980781114,0.2851610917673827]",2
16,NEKOR399301170,Househusband/Housewife/Unemployed,7440,192661,Vehicle loan,5944,660,7,4620,1,9,"[7440.0,192661.0,660.0,4620.0,1.0,9.0]","[0.17202158980928542,0.07749044657674134,0.1454665912133711,0.22688844174307182,0.3153546993593705,0.8554832753021482]",2
18,NEKOR200754335,Charity Officer,20531,284401,Personal loan,16014,444,32,14208,8,36,"[20531.0,284401.0,444.0,14208.0,8.0,36.0]","[0.4747009758567794,0.11438931852773428,0.09785934317990419,0.6977556234384339,2.522837594874964,3.4219331012085927]",2
19,NEKOR363997790,Agent/Insurance Broker,22744,101994,Vehicle loan,4975,552,8,4416,4,9,"[22744.0,101994.0,552.0,4416.0,4.0,9.0]","[0.5258681503524714,0.04102314743590117,0.12166296719663765,0.21686999106870242,1.261418797437482,0.8554832753021482]",2
20,NEKOR929118192,Charity Officer,3256,391957,Occupational Loans,3217,536,6,3216,3,6,"[3256.0,391957.0,536.0,3216.0,3.0,6.0]","[0.07528256672298834,0.1576495656561515,0.1181365043793438,0.15793792827829417,0.9460640980781114,0.5703221835347654]",2
23,NEKOR868192221,Househusband/Housewife/Unemployed,5460,15510,Occupational Loans,4997,832,4,3328,0,6,"[5460.0,15510.0,832.0,3328.0,0.0,6.0]","[0.12624165058584655,0.006238298495311756,0.18337606649927993,0.16343825413873225,0.0,0.5703221835347654]",2
28,NEKOR298460408,Judge/Attorney,37848,586824,Vehicle loan,8843,368,14,5152,4,24,"[37848.0,586824.0,368.0,5152.0,4.0,24.0]","[0.8750904746104615,0.23602729053596555,0.08110864479775842,0.25301498958015284,1.261418797437482,2.2812887341390615]",2
32,NEKOR515828133,Agent/Insurance Broker,47611,383618,Vehicle loan,29266,1625,3,4875,3,18,"[47611.0,383618.0,1625.0,4875.0,3.0,18.0]","[1.1008225688722968,0.15429552496289523,0.3581563798814061,0.2394115050860336,0.9460640980781114,1.7109665506042964]",2
33,NEKOR219975811,Police/Military,15451,1196651,Occupational Loans,12562,1046,4,4184,2,12,"[15451.0,1196651.0,1046.0,4184.0,2.0,12.0]","[0.35724537421280494,0.4813066494334821,0.2305425066805851,0.2054764589292235,0.630709398718741,1.1406443670695308]",2
34,NEKOR627219562,Police/Military,4002,828212,Personal loan,3398,188,16,3008,0,18,"[4002.0,828212.0,188.0,3008.0,0.0,18.0]","[0.09253096806676885,0.3331162909992998,0.041435938103202674,0.1477230373946234,0.0,1.7109665506042964]",2
35,NEKOR858211061,Charity Officer,9481,282783,Occupational Loans,5329,592,8,4736,10,9,"[9481.0,282783.0,592.0,4736.0,10.0,9.0]","[0.219211921099709,0.11373854051577977,0.13047912423987226,0.2325852078128113,3.153546993593705,0.8554832753021482]",2
36,NEKOR903212690,Employee,26935,168375,Occupational Loans,21082,3513,6,21078,2,6,"[26935.0,168375.0,3513.0,21078.0,2.0,6.0]","[0.6227690217087504,0.06772234101535247,0.7742789923220798,1.0351416829135212,0.630709398718741,0.5703221835347654]",2
39,NEKOR443514512,Student,3182,50334,Occupational Loans,3044,126,22,2772,3,24,"[3182.0,50334.0,126.0,2772.0,3.0,24.0]","[0.07357159929746589,0.02024490757337343,0.027770894686189027,0.1361330650458431,0.9460640980781114,2.2812887341390615]",2
46,NEKOR366882041,Student,3665,42432,Occupational Loans,3527,293,3,879,5,12,"[3665.0,42432.0,293.0,879.0,5.0,12.0]","[0.08473912992621385,0.017066633252938,0.06457835034169353,0.043167735993974055,1.5767734967968525,1.1406443670695308]",2
47,NEKOR613304906,Househusband/Housewife/Unemployed,4766,38247,Personal loan,4527,251,5,1255,6,18,"[4766.0,38247.0,251.0,1255.0,6.0,18.0]","[0.11019555067621697,0.01538337862992835,0.05532138544629719,0.06163311566830198,1.8921281961562229,1.7109665506042964]",2
48,NEKOR083439164,Other,3129,829094,Personal loan,3077,341,6,2046,3,9,"[3129.0,829094.0,341.0,2046.0,3.0,9.0]","[0.07234617668188899,0.3334710414359771,0.07515773879357507,0.10047916705764609,0.9460640980781114,0.8554832753021482]",2
49,NEKOR523122432,Agent/Insurance Broker,4858,468398,Occupational Loans,4293,477,7,3339,5,9,"[4858.0,468398.0,477.0,3339.0,5.0,9.0]","[0.11232269936740706,0.18839500571289722,0.10513267274057275,0.16397846471431102,1.5767734967968525,0.8554832753021482]",2
50,NEKOR270302409,Student,4163,138023,Vehicle loan,4115,1371,3,4113,3,3,"[4163.0,138023.0,1371.0,4113.0,3.0,3.0]","[0.0962534782763515,0.055514421226203384,0.30217378265686634,0.20198964521412432,0.9460640980781114,0.2851610917673827]",2
52,NEKOR630134658,Lawyer/Accountant,102727,390442,Vehicle loan,51445,2858,10,28580,7,18,"[102727.0,390442.0,2858.0,28580.0,7.0,18.0]","[2.3751696043465675,0.15704021541628063,0.629914420739113,1.4035652954582236,2.2074828955155934,1.7109665506042964]",2
54,NEKOR509106497,Employee,10539,102952,Personal loan,9249,3083,3,9249,10,3,"[10539.0,102952.0,3083.0,9249.0,10.0,3.0]","[0.24367413104839503,0.041408465937416886,0.6795053041073077,0.4542188739570717,3.153546993593705,0.2851610917673827]",2
55,NEKOR396860361,Charity Officer,6905,796492,Occupational Loans,6220,518,4,2072,6,12,"[6905.0,796492.0,518.0,2072.0,6.0,12.0]","[0.1596517577463865,0.3203581460430594,0.11416923370988823,0.10175602841810494,1.8921281961562229,1.1406443670695308]",2
57,NEKOR767988109,Househusband/Housewife/Unemployed,3036,196523,Vehicle loan,3003,83,31,2573,6,36,"[3036.0,196523.0,83.0,2573.0,6.0,36.0]","[0.07019590680927291,0.07904378692418776,0.01829352586471182,0.1263601646331004,1.8921281961562229,3.4219331012085927]",2
59,NEKOR698468485,Lawyer/Accountant,28153,432228,Vehicle loan,18618,1551,3,4653,9,12,"[28153.0,432228.0,1551.0,4653.0,9.0,12.0]","[0.650930620685593,0.17384702011809217,0.3418464893514221,0.22850907346980806,2.8381922942343345,1.1406443670695308]",2
62,NEKOR737588148,Student,8368,132745,Personal loan,4527,188,11,2068,0,24,"[8368.0,132745.0,188.0,2068.0,0.0,24.0]","[0.19347804617259412,0.053391549565451904,0.041435938103202674,0.10155958820880358,0.0,2.2812887341390615]",2
64,NEKOR595683126,Police/Military,18313,723984,Occupational Loans,9204,383,7,2681,9,24,"[18313.0,723984.0,383.0,2681.0,9.0,24.0]","[0.4234181954539575,0.2911946033417012,0.08441470368897142,0.13166405028423714,2.8381922942343345,2.2812887341390615]",2
65,NEKOR183718917,Police/Military,13649,122200,Personal loan,8295,921,6,5526,3,9,"[13649.0,122200.0,921.0,5526.0,3.0,9.0]","[0.3155810052831904,0.049150230569122925,0.20299201592047694,0.27138214914983005,0.9460640980781114,0.8554832753021482]",2
66,NEKOR337582299,Docter/Nurse/Pharmacist,3598,843016,Personal loan,3100,344,3,1032,3,9,"[3598.0,843016.0,344.0,1032.0,3.0,9.0]","[0.08319001077067324,0.33907062826071793,0.07581895057181766,0.05068157399975111,0.9460640980781114,0.8554832753021482]",2
67,NEKOR442651102,Docter/Nurse/Pharmacist,44410,50063,Vehicle loan,20147,1119,5,5595,4,18,"[44410.0,50063.0,1119.0,5595.0,4.0,18.0]","[1.0268116671277372,0.020135908289541742,0.24663199328448826,0.2747707427602786,1.261418797437482,1.7109665506042964]",2
68,NEKOR826250021,Agent/Insurance Broker,28914,183688,Occupational Loans,7437,413,13,5369,1,18,"[28914.0,183688.0,413.0,5369.0,1.0,18.0]","[0.6685258397507632,0.07388140386891204,0.09102682147139737,0.26367187093475164,0.3153546993593705,1.7109665506042964]",2
71,NEKOR954856527,Judge/Attorney,124432,285684,Personal loan,41477,13825,3,41475,10,3,"[124432.0,285684.0,13825.0,41475.0,10.0,3.0]","[2.8770148471974464,0.11490535572757213,3.047084278067963,2.036839420193486,3.153546993593705,0.2851610917673827]",2
72,NEKOR858170039,Agent/Insurance Broker,12091,107265,Personal loan,5180,143,36,5148,2,36,"[12091.0,107265.0,143.0,5148.0,2.0,36.0]","[0.27955820462151476,0.04314320361699649,0.03151776142956374,0.25281854937085146,0.630709398718741,3.4219331012085927]",2
73,NEKOR399337037,Teacher/Instructor,31922,858308,Occupational Loans,13012,4337,3,13011,8,3,"[31922.0,858308.0,4337.0,13011.0,8.0,3.0]","[0.7380743534801087,0.345221244675309,0.9558918274127128,0.6389708908050017,2.522837594874964,0.2851610917673827]",2
74,NEKOR615770665,Docter/Nurse/Pharmacist,66989,620792,Occupational Loans,30570,1273,4,5092,1,24,"[66989.0,620792.0,1273.0,5092.0,1.0,24.0]","[1.548864822544922,0.24968960667321569,0.2805741979009415,0.2500683864406324,0.3153546993593705,2.2812887341390615]",2
75,NEKOR506837983,Employee,12358,95290,Personal loan,6401,266,9,2394,1,24,"[12358.0,95290.0,266.0,2394.0,1.0,24.0]","[0.2857315600622512,0.03832672234805011,0.058627444337510166,0.1175694652668645,0.3153546993593705,2.2812887341390615]",2
80,NEKOR266520803,Docter/Nurse/Pharmacist,30540,687485,Personal loan,20277,1126,16,18016,2,18,"[30540.0,687485.0,1126.0,18016.0,2.0,18.0]","[0.7061208807494054,0.27651429020305623,0.24817482076705433,0.8847667026933295,0.630709398718741,1.7109665506042964]",2
84,NEKOR572419907,Househusband/Housewife/Unemployed,6367,163818,Personal loan,6027,1004,6,6024,1,6,"[6367.0,163818.0,1004.0,6024.0,1.0,6.0]","[0.1472125621392097,0.0658894637591864,0.22128554178518875,0.29583895520784953,0.3153546993593705,0.5703221835347654]",2
85,NEKOR336646016,Student,17649,17327,Occupational Loans,11372,315,23,7245,8,36,"[17649.0,17327.0,315.0,7245.0,8.0,36.0]","[0.4080657309871073,0.006969116571777356,0.06942723671547257,0.3558023290970899,2.522837594874964,3.4219331012085927]",2
86,NEKOR876975877,Househusband/Housewife/Unemployed,6465,90914,Vehicle loan,4594,127,36,4572,1,36,"[6465.0,90914.0,127.0,4572.0,1.0,36.0]","[0.14947843791895565,0.03656664535156499,0.027991298612269892,0.2245311592314555,0.3153546993593705,3.4219331012085927]",2
88,NEKOR920636008,Teacher/Instructor,19079,489606,Vehicle loan,8686,723,11,7953,2,12,"[19079.0,489606.0,723.0,7953.0,2.0,12.0]","[0.44112902042625757,0.1969251046483306,0.1593520385564656,0.3905722461434308,0.630709398718741,1.1406443670695308]",2
89,NEKOR272611995,Docter/Nurse/Pharmacist,52111,21875,Occupational Loans,16326,5442,3,16326,0,3,"[52111.0,21875.0,5442.0,16326.0,0.0,3.0]","[1.2048678852892032,0.008798373925528347,1.199438165732069,0.8017707142635044,0.0,0.2851610917673827]",2
91,NEKOR272577429,Househusband/Housewife/Unemployed,3100,70532,Personal loan,3062,85,5,425,1,36,"[3100.0,70532.0,85.0,425.0,1.0,36.0]","[0.07167566242053558,0.028368773015559557,0.01873433371687355,0.020871772238269595,0.3153546993593705,3.4219331012085927]",2
95,NEKOR505453411,Tour Guide,24421,908609,Vehicle loan,21693,1807,5,9035,10,12,"[24421.0,908609.0,1807.0,9035.0,10.0,12.0]","[0.5646423716038386,0.3654528792731605,0.3982698944281236,0.4437093227594489,3.153546993593705,1.1406443670695308]",2
99,NEKOR171822076,Student,21674,38163,Vehicle loan,10513,1168,4,4672,1,9,"[21674.0,38163.0,1168.0,4672.0,1.0,9.0]","[0.5011284862266736,0.015349592874054322,0.2574317856624507,0.22944216446398952,0.3153546993593705,0.8554832753021482]",2
102,NEKOR551026407,Tour Guide,31417,705287,Occupational Loans,27252,3028,6,18168,9,9,"[31417.0,705287.0,3028.0,18168.0,9.0,9.0]","[0.7263981568599892,0.28367445718007367,0.6673830881728601,0.8922314306467812,2.8381922942343345,0.8554832753021482]",2
103,NEKOR569353779,Student,9738,110735,Personal loan,6015,501,10,5010,6,12,"[9738.0,110735.0,501.0,5010.0,6.0,12.0]","[0.22515406472618565,0.04453887710369744,0.11042236696651352,0.2460413621499545,1.8921281961562229,1.1406443670695308]",2
