Sequence,Customer_ID,Occu,Salary,total_asset,Loan_Type,Loan_Amount,Amount_Paid,Pay_now,Pay_now_total,Num_Missed_Pay,Total_Installments,features,scaled_features,prediction
1,NEKOR362411189,Business Owner/Personal Business,245154,5852799,Personal loan,126923,42307,3,126921,7,3,"[245154.0,5852799.0,42307.0,126921.0,7.0,3.0]","[5.66825011130451,2.354062359449526,9.324628900703168,6.233096951184507,2.2074828955155934,0.2851610917673827]",3
8,NEKOR869255343,Tour Guide,21479,4644560,Vehicle loan,15969,443,5,2215,10,36,"[21479.0,4644560.0,443.0,2215.0,10.0,36.0]","[0.4966198558486077,1.8680948845509457,0.09763893925382333,0.1087787659006286,3.153546993593705,3.4219331012085927]",3
9,NEKOR672958713,Other,24684,3709370,Occupational Loans,7158,795,3,2385,1,9,"[24684.0,3709370.0,795.0,2385.0,1.0,9.0]","[0.5707232423188711,1.4919508246005524,0.1752211212342879,0.11712747479593644,0.3153546993593705,0.8554832753021482]",3
14,NEKOR187991475,Street Vendor,34290,3526293,Occupational Loans,34108,947,9,8523,0,36,"[34290.0,3526293.0,947.0,8523.0,0.0,36.0]","[0.7928253110968275,1.418315171884486,0.20872251799857944,0.4185649759688747,0.0,3.4219331012085927]",3
15,NEKOR712210185,Tour Guide,22400,3313730,Vehicle loan,9824,3274,3,9822,5,3,"[22400.0,3313730.0,3274.0,9822.0,5.0,3.0]","[0.5179144639419345,1.3328199144338766,0.721602453988753,0.4823589339394917,1.5767734967968525,0.2851610917673827]",3
22,NEKOR102519529,Street Vendor,10715,4437252,Personal loan,9926,1654,6,9924,4,6,"[10715.0,4437252.0,1654.0,9924.0,4.0,6.0]","[0.24774345897936736,1.7847132478993604,0.3645480937377512,0.48736815927667637,1.261418797437482,0.5703221835347654]",3
26,NEKOR805775719,Retired,23388,3366939,Vehicle loan,16795,933,15,13995,7,18,"[23388.0,3366939.0,933.0,13995.0,7.0,18.0]","[0.540758191190802,1.3542211797231765,0.20563686303344733,0.6872951822931365,2.2074828955155934,1.7109665506042964]",3
42,NEKOR783583190,Tour Guide,35632,4175442,Vehicle loan,30826,5137,3,15411,2,6,"[35632.0,4175442.0,5137.0,15411.0,2.0,6.0]","[0.8238539365704917,1.6794102866448426,1.132214968277405,0.7568350163858182,0.630709398718741,0.5703221835347654]",3
51,NEKOR100838230,Politician/Family Member or Close Asscociates,14363,5393481,Occupational Loans,11253,625,15,9375,1,18,"[14363.0,5393481.0,625.0,9375.0,1.0,18.0]","[0.3320895288213396,2.1693194330620598,0.1377524538005408,0.4604067405500646,0.3153546993593705,1.7109665506042964]",3
56,NEKOR915417988,Street Vendor,10759,4790590,Occupational Loans,10757,1792,6,10752,1,6,"[10759.0,4790590.0,1792.0,10752.0,1.0,6.0]","[0.24876079096211046,1.926829812292427,0.3949638355369106,0.5280312826020581,0.3153546993593705,0.5703221835347654]",3
